genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4myoVI,0hAPF,33.99768364577554,-32.4743211247331,-5.5005072306453116,0.22275474494955333,3.6654359654964086,0.12860751195989106,2.1162404413766875,0.014344733846754604,0.0070083269171641056,0.004046259432193597,Across_DV
ecadGFPnbG4myoVI,0hAPF,39.08753590859726,-36.98701419958518,-7.4401897008908024,0.11603942876962871,3.932134083272884,0.06699539543675555,2.270218671467302,0.015203874203590857,0.007071220310287162,0.004082570949643442,Across_DV
ecadGFPnbG4myoVI,0hAPF,44.17738817141901,-41.36252141613295,-9.713101670163388,0.053844053539137626,4.0949619460417965,0.031086878805081732,2.3642273818685053,0.015286040613449606,0.006148348996034598,0.0035497509479323406,Across_DV
ecadGFPnbG4myoVI,0hAPF,49.26724043424073,-45.583600609648386,-12.32509927761267,0.2790781000847161,4.170735311870311,0.16112581620884017,2.4079751550270023,0.01481307462221409,0.00454361482946661,0.002623257244886523,Across_DV
ecadGFPnbG4myoVI,0hAPF,54.357092697062455,-49.632060974367086,-15.268769906035866,0.5580413992340058,4.187667892646536,0.3221853520667087,2.4177511850962303,0.014172118588632128,0.002744478400058926,0.0015845253430591343,Across_DV
ecadGFPnbG4myoVI,0hAPF,59.446944959884206,-53.48845039451925,-18.526135564938645,0.8792040366326295,4.177800165844539,0.5076086872224542,2.4120540503708083,0.013622490206164859,0.001227749612768294,0.0007088415694292334,Across_DV
ecadGFPnbG4myoVI,0hAPF,64.53679722270593,-57.13203640075085,-22.07170492193516,1.2292862681225658,4.167981858151356,0.7097287578116739,2.406385447781162,0.013279741350940018,0.0012066042104474275,0.0006966332657071582,Across_DV
ecadGFPnbG4myoVI,0hAPF,69.62664948552765,-60.54096093557277,-25.875408743302174,1.5936382511537033,4.172415547568674,0.920087473294475,2.408945239559754,0.013171746529830356,0.002201951913402504,0.0012712975299455473,Across_DV
ecadGFPnbG4myoVI,0hAPF,74.7165017483494,-63.692410541099356,-29.905524526924196,1.957496117449822,4.190340458596065,1.130160910347302,2.419294191766618,0.013289577699581265,0.0030032198033557106,0.0017339097619030346,Across_DV
ecadGFPnbG4myoVI,0hAPF,79.80635401117115,-66.5627865579783,-34.13160112739617,2.307242890415417,4.210344141720065,1.3320873038671912,2.430843323603044,0.0136222566078087,0.0033965828282071357,0.0019610180101902503,Across_DV
ecadGFPnbG4myoVI,0hAPF,84.89620627399285,-69.1278753667296,-38.527383114120674,2.631632315147363,4.21905317563436,1.5193736255584482,2.4358714866778435,0.014171588739215315,0.0032698908664777256,0.0018878723719816136,Across_DV
ecadGFPnbG4myoVI,0hAPF,89.9860585368146,-71.36305626309966,-43.07348039089061,2.922903046594352,4.209773984612371,1.6875388607664266,2.4305141432434363,0.01489142162655128,0.002624939688442604,0.0015155096357288699,Across_DV
ecadGFPnbG4myoVI,0hAPF,95.07591079963635,-73.24379489292993,-47.75733643431219,3.177150980625063,4.186641806591727,1.8343289739199637,2.4171587740362748,0.015657783137682672,0.0016635689332790235,0.0009604619714441429,Across_DV
ecadGFPnbG4myoVI,0hAPF,100.16576306245804,-74.74621152243442,-52.569359564325545,3.3934025022240104,4.162817134967316,1.959181848127782,2.403403593460567,0.016346896686195583,0.0008745672940327693,0.0005049316626342619,Across_DV
ecadGFPnbG4myoVI,0hAPF,105.25561532527979,-75.84748384503457,-57.49816679065136,3.5722701900571914,4.155267654351124,2.062451155847595,2.3990448987945663,0.016876774303603792,0.001314764018586472,0.0007590793600517337,Across_DV
ecadGFPnbG4myoVI,0hAPF,110.34546758810154,-76.52610080875648,-62.525917994252836,3.7147948934652977,4.1793055760208615,2.1447378317264367,2.4129231993413485,0.01728916161534075,0.002322060953361228,0.001340642516497824,Across_DV
ecadGFPnbG4myoVI,0hAPF,115.43531985092324,-76.76151517516489,-67.62415424574117,3.8217875142267634,4.245886330740754,2.206510050124373,2.451363616001727,0.017759829223907165,0.0034750597584607295,0.002006326686997338,Across_DV
ecadGFPnbG4myoVI,0hAPF,120.52517211374499,-76.53338334324276,-72.7499821860814,3.894085606739591,4.36254156640823,2.24825137329855,2.518714547716723,0.018557396164023608,0.00484544389053237,0.0027975183345420912,Across_DV
ecadGFPnbG4myoVI,0hAPF,125.61502437656674,-75.82076937133498,-77.84228845107205,3.934099763886305,4.536106166218887,2.2713535576986015,2.6189221161391956,0.0199878917970872,0.006429295664856299,0.0037119555828044786,Across_DV
ecadGFPnbG4myoVI,0hAPF,130.70487663938843,-74.60138859766857,-82.81831322812299,3.9489442016383265,4.774313769415647,2.2799239978306995,2.7564513399678607,0.022257837546140746,0.008032993798043104,0.0046378511316987805,Across_DV
ecadGFPnbG4myoVI,0hAPF,135.79472890221018,-72.8521210578017,-87.57645149507886,3.9553061242268046,5.085469526696751,2.283597055549721,2.936097200194008,0.02480763741957832,0.008815137687448836,0.0050894221167922015,Across_DV
